INSERT INTO Client (email,username,name,gender,sexual_orientation, bio, description, likes, state, age, birthday) VALUES ('karaAcevedo@gmail.com', 'Kara Acevedo', 'karaAcevedo', 'F', 'W', 'This is the bio', 'This is the description', 'Running, Reading, Hiking, Watching series, Acrobatics', 'Reported', 'karaAcevedoprofilePic', 30, '1963-3-19'),
('bufordCamp@gmail.com', 'Buford Camp', 'bufordCamp', 'M', 'M', 'This is the bio', 'This is the description', 'Photography, Yoga, Dancing, Listening to music, Baseball', 'Pending', 'bufordCampprofilePic', 37, '1955-9-24'),
('isiahCabrera@gmail.com', 'Isiah Cabrera', 'isiahCabrera', 'M', 'W', 'This is the bio', 'This is the description', 'Blogging, Knitting, Watching movies, Reading, Journaling', 'Reported', 'isiahCabreraprofilePic', 35, '1983-6-19'),
('jameAguirre@gmail.com', 'Jame Aguirre', 'jameAguirre', 'M', 'W', 'This is the bio', 'This is the description', 'Dancing, Acrobatics, Parkour, Reading, Fishing', 'Reported', 'jameAguirreprofilePic', 19, '2000-10-12'),
('romeoCantrell@gmail.com', 'Romeo Cantrell', 'romeoCantrell', 'M', 'B', 'This is the bio', 'This is the description', 'Watching movies, Photography, Knitting, Blogging, Parkour', 'Accepted', 'romeoCantrellprofilePic', 29, '1977-2-14'),
('chesterGuerrero@gmail.com', 'Chester Guerrero', 'chesterGuerrero', 'Other', 'B', 'This is the bio', 'This is the description', 'Photography, Paintball, Car fixing, Dancing, Blogging', 'Reported', 'chesterGuerreroprofilePic', 20, '1981-7-1'),
('amosDillard@gmail.com', 'Amos Dillard', 'amosDillard', 'M', 'M', 'This is the bio', 'This is the description', 'Running, Car fixing, Fishing, Hiking, Watching series', 'Accepted', 'amosDillardprofilePic', 27, '1982-4-16'),
('brainBurton@gmail.com', 'Brain Burton', 'brainBurton', 'M', 'M', 'This is the bio', 'This is the description', 'Watching series, Journaling, Baseball, Dancing, Listening to music', 'Pending', 'brainBurtonprofilePic', 22, '1962-5-25'),
('marjorieHouston@gmail.com', 'Marjorie Houston', 'marjorieHouston', 'Other', 'B', 'This is the bio', 'This is the description', 'Parkour, Knitting, Chess, Baseball, Paintball', 'Accepted', 'marjorieHoustonprofilePic', 39, '2002-10-19'),
('salvadorBrooks@gmail.com', 'Salvador Brooks', 'salvadorBrooks', 'M', 'B', 'This is the bio', 'This is the description', 'Listening to music, Bowling, Journaling, Hiking, Watching movies', 'Reported', 'salvadorBrooksprofilePic', 30, '1978-3-10'),
('kerryMcgowan@gmail.com', 'Kerry Mcgowan', 'kerryMcgowan', 'F', 'M', 'This is the bio', 'This is the description', 'Bowling, Cycling, Acrobatics, Listening to podcasts, Watching series', 'Accepted', 'kerryMcgowanprofilePic', 19, '1998-3-1'),
('michaelMccoy@gmail.com', 'Michael Mccoy', 'michaelMccoy', 'M', 'M', 'This is the bio', 'This is the description', 'Journaling, Paintball, Listening to podcasts, Reading, Bowling', 'Reported', 'michaelMccoyprofilePic', 27, '1990-9-26'),
('westonWood@gmail.com', 'Weston Wood', 'westonWood', 'M', 'B', 'This is the bio', 'This is the description', 'Baseball, Listening to podcasts, Bowling, Paintball, Car fixing', 'Pending', 'westonWoodprofilePic', 27, '1998-2-4'),
('jennifferMeyer@gmail.com', 'Jenniffer Meyer', 'jennifferMeyer', 'F', 'B', 'This is the bio', 'This is the description', 'Yoga, Running, Listening to music, Listening to podcasts, Baseball', 'Pending', 'jennifferMeyerprofilePic', 34, '1996-12-27'),
('roscoeWalker@gmail.com', 'Roscoe Walker', 'roscoeWalker', 'M', 'W', 'This is the bio', 'This is the description', 'Hiking, Paintball, Bowling, Reading, Car fixing', 'Accepted', 'roscoeWalkerprofilePic', 30, '1951-5-19'),
('heidiTerry@gmail.com', 'Heidi Terry', 'heidiTerry', 'F', 'W', 'This is the bio', 'This is the description', 'Listening to podcasts, Dancing, Watching series, Car fixing, Parkour', 'Pending', 'heidiTerryprofilePic', 40, '1971-3-1'),
('sharaMoser@gmail.com', 'Shara Moser', 'sharaMoser', 'F', 'B', 'This is the bio', 'This is the description', 'Listening to music, Dancing, Car fixing, Baseball, Journaling', 'Pending', 'sharaMoserprofilePic', 39, '1976-12-3'),
('ginaHardin@gmail.com', 'Gina Hardin', 'ginaHardin', 'F', 'W', 'This is the bio', 'This is the description', 'Car fixing, Listening to music, Acrobatics, Dancing, Hiking', 'Accepted', 'ginaHardinprofilePic', 29, '1995-11-28'),
('royalHiggins@gmail.com', 'Royal Higgins', 'royalHiggins', 'Other', 'M', 'This is the bio', 'This is the description', 'Cycling, Listening to music, Watching series, Paintball, Bowling', 'Pending', 'royalHigginsprofilePic', 21, '2002-6-21'),
('hassanShannon@gmail.com', 'Hassan Shannon', 'hassanShannon', 'Other', 'B', 'This is the bio', 'This is the description', 'Watching series, Photography, Baseball, Blogging, Parkour', 'Accepted', 'hassanShannonprofilePic', 28, '1961-3-22'),
('cameronMosley@gmail.com', 'Cameron Mosley', 'cameronMosley', 'M', 'M', 'This is the bio', 'This is the description', 'Parkour, Chess, Knitting, Yoga, Listening to podcasts', 'Accepted', 'cameronMosleyprofilePic', 31, '1954-12-12'),
('estelleMadison@gmail.com', 'Estelle Madison', 'estelleMadison', 'F', 'M', 'This is the bio', 'This is the description', 'Reading, Knitting, Dancing, Watching movies, Yoga', 'Reported', 'estelleMadisonprofilePic', 36, '1964-2-8'),
('kirkSchroeder@gmail.com', 'Kirk Schroeder', 'kirkSchroeder', 'Other', 'B', 'This is the bio', 'This is the description', 'Journaling, Chess, Reading, Watching movies, Bowling', 'Reported', 'kirkSchroederprofilePic', 24, '1988-6-14'),
('jcWinters@gmail.com', 'Jc Winters', 'jcWinters', 'M', 'W', 'This is the bio', 'This is the description', 'Running, Parkour, Listening to podcasts, Watching series, Paintball', 'Reported', 'jcWintersprofilePic', 27, '1963-12-25'),
('beulahSpears@gmail.com', 'Beulah Spears', 'beulahSpears', 'F', 'M', 'This is the bio', 'This is the description', 'Fishing, Blogging, Knitting, Yoga, Car fixing', 'Accepted', 'beulahSpearsprofilePic', 24, '1962-4-9'),
('royFrederick@gmail.com', 'Roy Frederick', 'royFrederick', 'M', 'B', 'This is the bio', 'This is the description', 'Knitting, Watching series, Acrobatics, Car fixing, Journaling', 'Reported', 'royFrederickprofilePic', 24, '1976-1-17'),
('alvaArroyo@gmail.com', 'Alva Arroyo', 'alvaArroyo', 'Other', 'M', 'This is the bio', 'This is the description', 'Running, Watching movies, Acrobatics, Journaling, Fishing', 'Reported', 'alvaArroyoprofilePic', 25, '2001-7-12'),
('bobbyWalsh@gmail.com', 'Bobby Walsh', 'bobbyWalsh', 'Other', 'B', 'This is the bio', 'This is the description', 'Photography, Knitting, Dancing, Baseball, Watching series', 'Reported', 'bobbyWalshprofilePic', 33, '1964-8-19'),
('codyPerez@gmail.com', 'Cody Perez', 'codyPerez', 'Other', 'W', 'This is the bio', 'This is the description', 'Cycling, Fishing, Hiking, Yoga, Acrobatics', 'Reported', 'codyPerezprofilePic', 19, '1951-7-2'),
('virgilioShelton@gmail.com', 'Virgilio Shelton', 'virgilioShelton', 'Other', 'M', 'This is the bio', 'This is the description', 'Fishing, Bowling, Watching movies, Acrobatics, Watching series', 'Reported', 'virgilioSheltonprofilePic', 18, '1963-6-6'),
('marioGentry@gmail.com', 'Mario Gentry', 'marioGentry', 'M', 'M', 'This is the bio', 'This is the description', 'Knitting, Watching series, Chess, Fishing, Listening to music', 'Pending', 'marioGentryprofilePic', 22, '1982-10-5'),
('lynCooper@gmail.com', 'Lyn Cooper', 'lynCooper', 'Other', 'W', 'This is the bio', 'This is the description', 'Listening to podcasts, Running, Reading, Watching series, Paintball', 'Reported', 'lynCooperprofilePic', 27, '1995-11-24'),
('danetteFaulkner@gmail.com', 'Danette Faulkner', 'danetteFaulkner', 'Other', 'W', 'This is the bio', 'This is the description', 'Hiking, Car fixing, Fishing, Watching series, Baseball', 'Reported', 'danetteFaulknerprofilePic', 21, '1975-7-8'),
('vickyMyers@gmail.com', 'Vicky Myers', 'vickyMyers', 'F', 'W', 'This is the bio', 'This is the description', 'Fishing, Parkour, Watching series, Reading, Paintball', 'Accepted', 'vickyMyersprofilePic', 36, '1994-1-15'),
('andersonOwen@gmail.com', 'Anderson Owen', 'andersonOwen', 'M', 'W', 'This is the bio', 'This is the description', 'Paintball, Running, Hiking, Knitting, Fishing', 'Accepted', 'andersonOwenprofilePic', 38, '1998-7-4'),
('netaCleveland@gmail.com', 'Neta Cleveland', 'netaCleveland', 'F', 'M', 'This is the bio', 'This is the description', 'Listening to podcasts, Car fixing, Fishing, Watching movies, Running', 'Pending', 'netaClevelandprofilePic', 38, '1974-1-20'),
('ngocAtkinson@gmail.com', 'Ngoc Atkinson', 'ngocAtkinson', 'F', 'W', 'This is the bio', 'This is the description', 'Paintball, Listening to podcasts, Watching movies, Knitting, Listening to music', 'Pending', 'ngocAtkinsonprofilePic', 32, '1987-11-4'),
('ravenPatton@gmail.com', 'Raven Patton', 'ravenPatton', 'F', 'B', 'This is the bio', 'This is the description', 'Knitting, Acrobatics, Hiking, Baseball, Car fixing', 'Pending', 'ravenPattonprofilePic', 31, '1967-6-14'),
('bruceFields@gmail.com', 'Bruce Fields', 'bruceFields', 'M', 'W', 'This is the bio', 'This is the description', 'Paintball, Acrobatics, Reading, Blogging, Watching series', 'Pending', 'bruceFieldsprofilePic', 34, '1965-11-6'),
('wmPope@gmail.com', 'Wm Pope', 'wmPope', 'Other', 'B', 'This is the bio', 'This is the description', 'Dancing, Listening to music, Reading, Fishing, Watching series', 'Accepted', 'wmPopeprofilePic', 22, '1964-8-2'),
('gregoryMerrill@gmail.com', 'Gregory Merrill', 'gregoryMerrill', 'Other', 'M', 'This is the bio', 'This is the description', 'Parkour, Listening to podcasts, Car fixing, Hiking, Listening to music', 'Reported', 'gregoryMerrillprofilePic', 31, '1964-3-14'),
('kimberleeClayton@gmail.com', 'Kimberlee Clayton', 'kimberleeClayton', 'F', 'B', 'This is the bio', 'This is the description', 'Knitting, Blogging, Car fixing, Parkour, Watching movies', 'Accepted', 'kimberleeClaytonprofilePic', 18, '1953-1-22'),
('kareyHutchins@gmail.com', 'Karey Hutchins', 'kareyHutchins', 'Other', 'M', 'This is the bio', 'This is the description', 'Parkour, Listening to music, Yoga, Hiking, Fishing', 'Reported', 'kareyHutchinsprofilePic', 34, '1950-8-28'),
('galenSheppard@gmail.com', 'Galen Sheppard', 'galenSheppard', 'Other', 'W', 'This is the bio', 'This is the description', 'Acrobatics, Cycling, Hiking, Paintball, Chess', 'Accepted', 'galenSheppardprofilePic', 18, '2002-6-22'),
('lylaBowen@gmail.com', 'Lyla Bowen', 'lylaBowen', 'F', 'B', 'This is the bio', 'This is the description', 'Acrobatics, Watching movies, Hiking, Reading, Watching series', 'Accepted', 'lylaBowenprofilePic', 37, '1950-12-20'),
('francescaFischer@gmail.com', 'Francesca Fischer', 'francescaFischer', 'Other', 'M', 'This is the bio', 'This is the description', 'Parkour, Running, Knitting, Dancing, Watching movies', 'Reported', 'francescaFischerprofilePic', 27, '1989-1-10'),
('coreyRoman@gmail.com', 'Corey Roman', 'coreyRoman', 'M', 'B', 'This is the bio', 'This is the description', 'Acrobatics, Photography, Car fixing, Dancing, Chess', 'Reported', 'coreyRomanprofilePic', 36, '1960-8-19'),
('lorenaBriggs@gmail.com', 'Lorena Briggs', 'lorenaBriggs', 'F', 'W', 'This is the bio', 'This is the description', 'Parkour, Reading, Baseball, Yoga, Cycling', 'Reported', 'lorenaBriggsprofilePic', 20, '1964-5-13'),
('ofeliaSchaefer@gmail.com', 'Ofelia Schaefer', 'ofeliaSchaefer', 'Other', 'W', 'This is the bio', 'This is the description', 'Yoga, Watching series, Dancing, Cycling, Knitting', 'Pending', 'ofeliaSchaeferprofilePic', 38, '1995-7-18'),
('angeliaBenjamin@gmail.com', 'Angelia Benjamin', 'angeliaBenjamin', 'F', 'B', 'This is the bio', 'This is the description', 'Parkour, Listening to music, Hiking, Cycling, Bowling', 'Accepted', 'angeliaBenjaminprofilePic', 37, '1978-2-28'),
('bobbiePacheco@gmail.com', 'Bobbie Pacheco', 'bobbiePacheco', 'Other', 'M', 'This is the bio', 'This is the description', 'Parkour, Watching movies, Knitting, Acrobatics, Blogging', 'Reported', 'bobbiePachecoprofilePic', 30, '1976-3-17'),
('natalieMcgowan@gmail.com', 'Natalie Mcgowan', 'natalieMcgowan', 'Other', 'W', 'This is the bio', 'This is the description', 'Photography, Journaling, Running, Bowling, Blogging', 'Pending', 'natalieMcgowanprofilePic', 20, '1991-9-7'),
('efrenMorgan@gmail.com', 'Efren Morgan', 'efrenMorgan', 'M', 'B', 'This is the bio', 'This is the description', 'Dancing, Knitting, Baseball, Bowling, Photography', 'Accepted', 'efrenMorganprofilePic', 26, '1975-11-5'),
('cassidyWitt@gmail.com', 'Cassidy Witt', 'cassidyWitt', 'F', 'W', 'This is the bio', 'This is the description', 'Baseball, Dancing, Car fixing, Fishing, Reading', 'Accepted', 'cassidyWittprofilePic', 35, '1984-4-9'),
('roccoJoyner@gmail.com', 'Rocco Joyner', 'roccoJoyner', 'Other', 'B', 'This is the bio', 'This is the description', 'Acrobatics, Yoga, Hiking, Watching movies, Photography', 'Pending', 'roccoJoynerprofilePic', 22, '1981-4-7'),
('inaHouston@gmail.com', 'Ina Houston', 'inaHouston', 'F', 'B', 'This is the bio', 'This is the description', 'Knitting, Watching series, Paintball, Parkour, Dancing', 'Reported', 'inaHoustonprofilePic', 19, '1994-2-12'),
('tanikaAndersen@gmail.com', 'Tanika Andersen', 'tanikaAndersen', 'Other', 'M', 'This is the bio', 'This is the description', 'Knitting, Yoga, Cycling, Parkour, Blogging', 'Reported', 'tanikaAndersenprofilePic', 30, '1973-8-6'),
('deborahBradley@gmail.com', 'Deborah Bradley', 'deborahBradley', 'Other', 'W', 'This is the bio', 'This is the description', 'Fishing, Cycling, Listening to podcasts, Reading, Journaling', 'Pending', 'deborahBradleyprofilePic', 30, '1978-11-12'),
('hannaBattle@gmail.com', 'Hanna Battle', 'hannaBattle', 'F', 'W', 'This is the bio', 'This is the description', 'Bowling, Chess, Dancing, Photography, Hiking', 'Accepted', 'hannaBattleprofilePic', 27, '1971-8-3'),
('cortneyMaldonado@gmail.com', 'Cortney Maldonado', 'cortneyMaldonado', 'F', 'W', 'This is the bio', 'This is the description', 'Running, Watching series, Knitting, Cycling, Listening to music', 'Reported', 'cortneyMaldonadoprofilePic', 20, '1970-8-24'),
('joeyHayes@gmail.com', 'Joey Hayes', 'joeyHayes', 'Other', 'W', 'This is the bio', 'This is the description', 'Parkour, Fishing, Acrobatics, Bowling, Car fixing', 'Accepted', 'joeyHayesprofilePic', 35, '1988-5-10'),
('rodrickLynch@gmail.com', 'Rodrick Lynch', 'rodrickLynch', 'M', 'B', 'This is the bio', 'This is the description', 'Listening to music, Cycling, Running, Yoga, Bowling', 'Pending', 'rodrickLynchprofilePic', 32, '1994-3-18'),
('harveyJustice@gmail.com', 'Harvey Justice', 'harveyJustice', 'Other', 'W', 'This is the bio', 'This is the description', 'Knitting, Journaling, Listening to music, Blogging, Watching series', 'Pending', 'harveyJusticeprofilePic', 18, '2003-2-12'),
('lutherFrancis@gmail.com', 'Luther Francis', 'lutherFrancis', 'M', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Paintball, Chess, Watching movies, Yoga', 'Pending', 'lutherFrancisprofilePic', 21, '1963-12-23'),
('vinceSanford@gmail.com', 'Vince Sanford', 'vinceSanford', 'M', 'B', 'This is the bio', 'This is the description', 'Paintball, Photography, Car fixing, Running, Watching movies', 'Pending', 'vinceSanfordprofilePic', 37, '1956-9-21'),
('howardHubbard@gmail.com', 'Howard Hubbard', 'howardHubbard', 'M', 'B', 'This is the bio', 'This is the description', 'Parkour, Yoga, Bowling, Paintball, Hiking', 'Accepted', 'howardHubbardprofilePic', 26, '1958-9-12'),
('eliseStokes@gmail.com', 'Elise Stokes', 'eliseStokes', 'F', 'B', 'This is the bio', 'This is the description', 'Hiking, Watching movies, Running, Fishing, Bowling', 'Accepted', 'eliseStokesprofilePic', 31, '1982-1-13'),
('arthurKnox@gmail.com', 'Arthur Knox', 'arthurKnox', 'M', 'W', 'This is the bio', 'This is the description', 'Bowling, Acrobatics, Watching series, Fishing, Photography', 'Accepted', 'arthurKnoxprofilePic', 40, '1956-4-22'),
('cathiHoffman@gmail.com', 'Cathi Hoffman', 'cathiHoffman', 'F', 'M', 'This is the bio', 'This is the description', 'Cycling, Acrobatics, Photography, Blogging, Knitting', 'Pending', 'cathiHoffmanprofilePic', 23, '1952-9-13'),
('ramonFrost@gmail.com', 'Ramon Frost', 'ramonFrost', 'M', 'M', 'This is the bio', 'This is the description', 'Baseball, Cycling, Listening to podcasts, Hiking, Running', 'Reported', 'ramonFrostprofilePic', 18, '1959-10-26'),
('cornellBond@gmail.com', 'Cornell Bond', 'cornellBond', 'Other', 'B', 'This is the bio', 'This is the description', 'Blogging, Hiking, Paintball, Running, Chess', 'Reported', 'cornellBondprofilePic', 28, '1992-5-26'),
('rashadMoon@gmail.com', 'Rashad Moon', 'rashadMoon', 'M', 'B', 'This is the bio', 'This is the description', 'Photography, Paintball, Listening to podcasts, Watching series, Journaling', 'Reported', 'rashadMoonprofilePic', 39, '1999-5-14'),
('catharineGallagher@gmail.com', 'Catharine Gallagher', 'catharineGallagher', 'Other', 'M', 'This is the bio', 'This is the description', 'Bowling, Blogging, Acrobatics, Cycling, Yoga', 'Pending', 'catharineGallagherprofilePic', 26, '1969-5-17'),
('janettPate@gmail.com', 'Janett Pate', 'janettPate', 'F', 'M', 'This is the bio', 'This is the description', 'Car fixing, Yoga, Watching series, Reading, Photography', 'Accepted', 'janettPateprofilePic', 36, '1971-8-4'),
('florinePace@gmail.com', 'Florine Pace', 'florinePace', 'F', 'B', 'This is the bio', 'This is the description', 'Blogging, Listening to music, Watching movies, Yoga, Parkour', 'Pending', 'florinePaceprofilePic', 27, '1958-6-13'),
('delbertKim@gmail.com', 'Delbert Kim', 'delbertKim', 'M', 'W', 'This is the bio', 'This is the description', 'Watching series, Blogging, Parkour, Knitting, Listening to podcasts', 'Pending', 'delbertKimprofilePic', 31, '1952-8-22'),
('raulWitt@gmail.com', 'Raul Witt', 'raulWitt', 'M', 'W', 'This is the bio', 'This is the description', 'Paintball, Watching series, Parkour, Yoga, Running', 'Reported', 'raulWittprofilePic', 39, '1987-9-15'),
('zandraBarlow@gmail.com', 'Zandra Barlow', 'zandraBarlow', 'Other', 'W', 'This is the bio', 'This is the description', 'Journaling, Dancing, Running, Knitting, Listening to music', 'Accepted', 'zandraBarlowprofilePic', 18, '1996-7-7'),
('clintPowers@gmail.com', 'Clint Powers', 'clintPowers', 'M', 'W', 'This is the bio', 'This is the description', 'Acrobatics, Parkour, Watching series, Photography, Watching movies', 'Accepted', 'clintPowersprofilePic', 20, '1988-3-20'),
('bonitaDailey@gmail.com', 'Bonita Dailey', 'bonitaDailey', 'Other', 'W', 'This is the bio', 'This is the description', 'Watching movies, Blogging, Fishing, Photography, Dancing', 'Pending', 'bonitaDaileyprofilePic', 25, '1957-11-25'),
('keithRivas@gmail.com', 'Keith Rivas', 'keithRivas', 'M', 'B', 'This is the bio', 'This is the description', 'Yoga, Reading, Parkour, Listening to podcasts, Listening to music', 'Pending', 'keithRivasprofilePic', 35, '1991-10-7'),
('kirstenWeeks@gmail.com', 'Kirsten Weeks', 'kirstenWeeks', 'Other', 'W', 'This is the bio', 'This is the description', 'Yoga, Blogging, Hiking, Acrobatics, Watching series', 'Accepted', 'kirstenWeeksprofilePic', 33, '1974-7-10'),
('alexandriaGriffith@gmail.com', 'Alexandria Griffith', 'alexandriaGriffith', 'F', 'M', 'This is the bio', 'This is the description', 'Fishing, Watching series, Reading, Knitting, Car fixing', 'Pending', 'alexandriaGriffithprofilePic', 34, '1993-5-6'),
('nevilleElder@gmail.com', 'Neville Elder', 'nevilleElder', 'M', 'B', 'This is the bio', 'This is the description', 'Dancing, Knitting, Reading, Chess, Car fixing', 'Pending', 'nevilleElderprofilePic', 31, '1971-2-18'),
('hazelDawson@gmail.com', 'Hazel Dawson', 'hazelDawson', 'F', 'M', 'This is the bio', 'This is the description', 'Bowling, Running, Listening to podcasts, Acrobatics, Chess', 'Accepted', 'hazelDawsonprofilePic', 24, '2001-12-21'),
('elinorHood@gmail.com', 'Elinor Hood', 'elinorHood', 'Other', 'M', 'This is the bio', 'This is the description', 'Fishing, Chess, Listening to music, Listening to podcasts, Running', 'Reported', 'elinorHoodprofilePic', 40, '1973-8-20'),
('felixJimenez@gmail.com', 'Felix Jimenez', 'felixJimenez', 'Other', 'W', 'This is the bio', 'This is the description', 'Listening to podcasts, Watching series, Fishing, Journaling, Watching movies', 'Reported', 'felixJimenezprofilePic', 34, '1976-12-26'),
('indiraBall@gmail.com', 'Indira Ball', 'indiraBall', 'Other', 'B', 'This is the bio', 'This is the description', 'Cycling, Acrobatics, Blogging, Chess, Car fixing', 'Accepted', 'indiraBallprofilePic', 38, '1970-3-28'),
('kayJones@gmail.com', 'Kay Jones', 'kayJones', 'F', 'B', 'This is the bio', 'This is the description', 'Yoga, Watching series, Running, Acrobatics, Photography', 'Pending', 'kayJonesprofilePic', 37, '1955-3-10'),
('chanceCox@gmail.com', 'Chance Cox', 'chanceCox', 'Other', 'W', 'This is the bio', 'This is the description', 'Bowling, Parkour, Blogging, Journaling, Reading', 'Accepted', 'chanceCoxprofilePic', 24, '1979-11-13'),
('gonzaloAyers@gmail.com', 'Gonzalo Ayers', 'gonzaloAyers', 'M', 'W', 'This is the bio', 'This is the description', 'Acrobatics, Hiking, Car fixing, Chess, Baseball', 'Reported', 'gonzaloAyersprofilePic', 23, '1984-2-13'),
('briceNash@gmail.com', 'Brice Nash', 'briceNash', 'M', 'W', 'This is the bio', 'This is the description', 'Running, Car fixing, Paintball, Bowling, Dancing', 'Pending', 'briceNashprofilePic', 21, '1960-6-9'),
('dominicReed@gmail.com', 'Dominic Reed', 'dominicReed', 'M', 'M', 'This is the bio', 'This is the description', 'Photography, Listening to podcasts, Car fixing, Hiking, Blogging', 'Reported', 'dominicReedprofilePic', 36, '1998-4-27'),
('marcelinaRutledge@gmail.com', 'Marcelina Rutledge', 'marcelinaRutledge', 'F', 'W', 'This is the bio', 'This is the description', 'Bowling, Listening to music, Fishing, Cycling, Dancing', 'Reported', 'marcelinaRutledgeprofilePic', 34, '1983-9-16'),
('danitaStrickland@gmail.com', 'Danita Strickland', 'danitaStrickland', 'F', 'W', 'This is the bio', 'This is the description', 'Hiking, Fishing, Cycling, Running, Car fixing', 'Accepted', 'danitaStricklandprofilePic', 22, '1950-11-23'),
('patriceCox@gmail.com', 'Patrice Cox', 'patriceCox', 'F', 'W', 'This is the bio', 'This is the description', 'Acrobatics, Parkour, Running, Car fixing, Bowling', 'Accepted', 'patriceCoxprofilePic', 28, '1967-5-9'),
('lincolnLyons@gmail.com', 'Lincoln Lyons', 'lincolnLyons', 'Other', 'M', 'This is the bio', 'This is the description', 'Hiking, Baseball, Chess, Watching movies, Acrobatics', 'Accepted', 'lincolnLyonsprofilePic', 28, '1984-3-24'),
('irisMccormick@gmail.com', 'Iris Mccormick', 'irisMccormick', 'Other', 'B', 'This is the bio', 'This is the description', 'Listening to podcasts, Knitting, Listening to music, Car fixing, Fishing', 'Reported', 'irisMccormickprofilePic', 40, '1992-5-21'),
('jerrellHogan@gmail.com', 'Jerrell Hogan', 'jerrellHogan', 'M', 'M', 'This is the bio', 'This is the description', 'Parkour, Running, Watching movies, Cycling, Car fixing', 'Accepted', 'jerrellHoganprofilePic', 33, '1991-2-7'),
('tiffinyRogers@gmail.com', 'Tiffiny Rogers', 'tiffinyRogers', 'F', 'B', 'This is the bio', 'This is the description', 'Watching series, Chess, Fishing, Photography, Paintball', 'Reported', 'tiffinyRogersprofilePic', 18, '1966-11-27'),
('percyHinton@gmail.com', 'Percy Hinton', 'percyHinton', 'M', 'B', 'This is the bio', 'This is the description', 'Watching series, Reading, Chess, Watching movies, Paintball', 'Pending', 'percyHintonprofilePic', 23, '1964-7-22'),
('thomasWalters@gmail.com', 'Thomas Walters', 'thomasWalters', 'Other', 'B', 'This is the bio', 'This is the description', 'Paintball, Baseball, Dancing, Cycling, Listening to music', 'Accepted', 'thomasWaltersprofilePic', 23, '1984-4-20'),
('auraGriggs@gmail.com', 'Aura Griggs', 'auraGriggs', 'F', 'W', 'This is the bio', 'This is the description', 'Chess, Reading, Journaling, Cycling, Photography', 'Pending', 'auraGriggsprofilePic', 35, '2003-7-26'),
('monteGarrison@gmail.com', 'Monte Garrison', 'monteGarrison', 'Other', 'W', 'This is the bio', 'This is the description', 'Watching movies, Blogging, Running, Dancing, Bowling', 'Pending', 'monteGarrisonprofilePic', 40, '1951-12-18'),
('imeldaGallegos@gmail.com', 'Imelda Gallegos', 'imeldaGallegos', 'Other', 'B', 'This is the bio', 'This is the description', 'Blogging, Watching series, Car fixing, Yoga, Cycling', 'Reported', 'imeldaGallegosprofilePic', 24, '1977-5-18'),
('ledaKirkland@gmail.com', 'Leda Kirkland', 'ledaKirkland', 'F', 'M', 'This is the bio', 'This is the description', 'Listening to podcasts, Knitting, Fishing, Journaling, Car fixing', 'Reported', 'ledaKirklandprofilePic', 22, '1974-1-20'),
('stephanHogan@gmail.com', 'Stephan Hogan', 'stephanHogan', 'M', 'W', 'This is the bio', 'This is the description', 'Hiking, Bowling, Yoga, Running, Car fixing', 'Reported', 'stephanHoganprofilePic', 39, '1961-9-14'),
('detraFranks@gmail.com', 'Detra Franks', 'detraFranks', 'F', 'W', 'This is the bio', 'This is the description', 'Car fixing, Listening to podcasts, Dancing, Baseball, Journaling', 'Accepted', 'detraFranksprofilePic', 37, '1976-6-4'),
('bennieLyons@gmail.com', 'Bennie Lyons', 'bennieLyons', 'F', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Car fixing, Parkour, Bowling, Running', 'Pending', 'bennieLyonsprofilePic', 21, '1951-1-9'),
('margeretCollier@gmail.com', 'Margeret Collier', 'margeretCollier', 'F', 'W', 'This is the bio', 'This is the description', 'Dancing, Listening to podcasts, Acrobatics, Watching movies, Watching series', 'Pending', 'margeretCollierprofilePic', 27, '1966-2-6'),
('majorieStanley@gmail.com', 'Majorie Stanley', 'majorieStanley', 'F', 'W', 'This is the bio', 'This is the description', 'Listening to podcasts, Bowling, Dancing, Journaling, Paintball', 'Accepted', 'majorieStanleyprofilePic', 19, '2003-11-15'),
('danaWerner@gmail.com', 'Dana Werner', 'danaWerner', 'M', 'B', 'This is the bio', 'This is the description', 'Listening to podcasts, Chess, Photography, Blogging, Paintball', 'Pending', 'danaWernerprofilePic', 31, '1953-2-18'),
('sandyMartin@gmail.com', 'Sandy Martin', 'sandyMartin', 'M', 'M', 'This is the bio', 'This is the description', 'Reading, Yoga, Acrobatics, Blogging, Knitting', 'Accepted', 'sandyMartinprofilePic', 38, '1963-10-26'),
('shermanWolfe@gmail.com', 'Sherman Wolfe', 'shermanWolfe', 'M', 'M', 'This is the bio', 'This is the description', 'Watching movies, Cycling, Dancing, Acrobatics, Watching series', 'Reported', 'shermanWolfeprofilePic', 32, '1960-4-26'),
('earleanWelch@gmail.com', 'Earlean Welch', 'earleanWelch', 'F', 'M', 'This is the bio', 'This is the description', 'Photography, Chess, Car fixing, Fishing, Cycling', 'Pending', 'earleanWelchprofilePic', 32, '1952-1-11'),
('ronMagee@gmail.com', 'Ron Magee', 'ronMagee', 'Other', 'W', 'This is the bio', 'This is the description', 'Fishing, Hiking, Bowling, Listening to podcasts, Yoga', 'Pending', 'ronMageeprofilePic', 27, '1975-3-7'),
